team_name,year,wins,losses,ot_losses,win_percentage,goals_for,goals_against,goal_differential
Philadelphia Flyers,1991,32,37,,0.4,252,273,-21
Pittsburgh Penguins,1991,39,32,,0.487,343,308,35
Quebec Nordiques,1991,20,48,,0.25,255,318,-63
San Jose Sharks,1991,17,58,,0.212,219,359,-140
St. Louis Blues,1991,36,33,,0.45,279,266,13
Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60
Vancouver Canucks,1991,42,26,,0.525,285,250,35
Washington Capitals,1991,45,27,,0.562,330,275,55
Winnipeg Jets,1991,33,32,,0.412,251,244,7
Boston Bruins,1992,51,26,,0.607,332,268,64
Buffalo Sabres,1992,38,36,,0.452,335,297,38
Calgary Flames,1992,43,30,,0.512,322,282,40
Chicago Blackhawks,1992,47,25,,0.56,279,230,49
Detroit Red Wings,1992,47,28,,0.56,369,280,89
Edmonton Oilers,1992,26,50,,0.31,242,337,-95
Hartford Whalers,1992,26,52,,0.31,284,369,-85
Los Angeles Kings,1992,39,35,,0.464,338,340,-2
Minnesota North Stars,1992,36,38,,0.429,272,293,-21
Montreal Canadiens,1992,48,30,,0.571,326,280,46
New Jersey Devils,1992,40,37,,0.476,308,299,9
New York Islanders,1992,40,37,,0.476,335,297,38
New York Rangers,1992,34,39,,0.405,304,308,-4
Ottawa Senators,1992,10,70,,0.119,202,395,-193
Philadelphia Flyers,1992,36,37,,0.429,319,319,0
Pittsburgh Penguins,1992,56,21,,0.667,367,268,99
Quebec Nordiques,1992,47,27,,0.56,351,300,51
San Jose Sharks,1992,11,71,,0.131,218,414,-196
St. Louis Blues,1992,37,36,,0.44,282,278,4
Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87
Toronto Maple Leafs,1992,44,29,,0.524,288,241,47
Vancouver Canucks,1992,46,29,,0.548,346,278,68
Washington Capitals,1992,43,34,,0.512,325,286,39
Winnipeg Jets,1992,40,37,,0.476,322,320,2
Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22
Boston Bruins,1993,42,29,,0.5,289,252,37
Buffalo Sabres,1993,43,32,,0.512,282,218,64
Calgary Flames,1993,42,29,,0.5,302,256,46
Chicago Blackhawks,1993,39,36,,0.464,254,240,14
Dallas Stars,1993,42,29,,0.5,286,265,21
Detroit Red Wings,1993,46,30,,0.548,356,275,81
Edmonton Oilers,1993,25,45,,0.298,261,305,-44
Florida Panthers,1993,33,34,,0.393,233,233,0
Hartford Whalers,1993,27,48,,0.321,227,288,-61
Los Angeles Kings,1993,27,45,,0.321,294,322,-28
Montreal Canadiens,1993,41,29,,0.488,283,248,35
New Jersey Devils,1993,47,25,,0.56,306,220,86
New York Islanders,1993,36,36,,0.429,282,264,18
New York Rangers,1993,52,24,,0.619,299,231,68
Ottawa Senators,1993,14,61,,0.167,201,397,-196
Philadelphia Flyers,1993,35,39,,0.417,294,314,-20
Pittsburgh Penguins,1993,44,27,,0.524,299,285,14
Quebec Nordiques,1993,34,42,,0.405,277,292,-15
San Jose Sharks,1993,33,35,,0.393,252,265,-13
St. Louis Blues,1993,40,33,,0.476,270,283,-13
Tampa Bay Lightning,1993,30,43,,0.357,224,251,-27
Toronto Maple Leafs,1993,43,29,,0.512,280,243,37
Vancouver Canucks,1993,41,40,,0.488,279,276,3
Washington Capitals,1993,39,35,,0.464,277,263,14
Winnipeg Jets,1993,24,51,,0.286,245,344,-99
Mighty Ducks of Anaheim,1994,16,27,,0.333,125,164,-39
Boston Bruins,1994,27,18,,0.562,150,127,23
Buffalo Sabres,1994,22,19,,0.458,130,119,11
Calgary Flames,1994,24,17,,0.5,163,135,28
Chicago Blackhawks,1994,24,19,,0.5,156,115,41
Dallas Stars,1994,17,23,,0.354,136,135,1
Detroit Red Wings,1994,33,11,,0.688,180,117,63
